duration,key,loudness,mode,tempo,artist_hotttnesss,end_of_fade_in,start_of_fade_out,mode_confidence,key_confidence,time_signature,time_signature_confidence,year,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,duration_ms,Points,Country
211.86209,9,-16.453,0,59.136,0.0,3.63973,199.37814,0.636,0.608,3,1.0,2017,2,0.293,0.167,0.0442,0.93,2.66e-05,0.321,0.336,211862,149.0, Belarus
177.09656,5,-4.771,1,99.951,0.1,2.98957,172.25723,0.185,0.181,4,1.0,2017,19,0.716,0.7,0.0483,0.153,0.0,0.316,0.556,177097,172.0, Australia
185.28,3,-5.935,1,128.017,0.04,0.54499,177.08698,0.429,0.41,4,0.929,2013,12,0.63,0.601,0.0288,0.0679,0.0,0.0509,0.361,185280,46.0, Sweden
167.94667,6,-8.143,0,135.056,0.27,0.16825,162.97507,0.01,0.0,4,1.0,2015,12,0.707,0.761,0.0403,0.00349,0.00115,0.191,0.873,167947,59.0, Netherlands
178.56,7,-7.94,1,169.966,0.02,0.14041,173.08154,0.514,0.346,4,0.791,2012,0,0.381,0.862,0.0452,0.000466,1.63e-05,0.395,0.709,178560,19.0, Belgium
150.7826,7,-10.727,1,115.079,0.23,0.53365,141.66495,0.475,0.476,4,0.744,2015,20,0.52,0.405,0.0399,0.00472,0.00398,0.108,0.0895,150783,37.0, Malta
173.05333,10,-4.951,1,202.089,0.1,0.0,161.36707,0.614,0.726,4,1.0,2007,4,0.465,0.822,0.0399,0.607,0.0,0.117,0.395,173053,22.0, Portugal
164.95973,8,-5.501,1,75.993,0.68,2.26395,156.90884,0.913,0.923,4,1.0,2018,10,0.518,0.619,0.0301,0.158,6.64e-06,0.0989,0.225,164960,116.0, Sweden
216.99982,10,-3.865,1,129.972,0.02,0.16834,213.10114,0.497,0.593,4,0.783,2012,2,0.716,0.915,0.0483,0.0968,7.4e-05,0.177,0.695,217000,88.0, Russia
179.98666,6,-3.599,0,125.884,0.23,0.18023,171.67093,0.366,0.213,4,1.0,2015,30,0.686,0.807,0.0673,0.0876,0.0,0.0844,0.608,179987,69.0, Netherlands
162.0,8,-6.888,1,153.833,0.01,0.58653,162.0,0.439,0.315,4,1.0,2004,5,0.547,0.791,0.0469,0.178,0.0,0.251,0.761,162000,48.0, Greece
164.21333,4,-5.194,1,179.957,0.19,0.1161,158.2498,0.452,0.552,4,1.0,2015,9,0.552,0.73,0.0353,0.214,3.23e-05,0.102,0.717,164213,126.0, Croatia
152.50667,0,-5.182,1,160.023,0.5,0.0,149.88481,0.521,0.516,4,1.0,2004,49,0.76,0.914,0.178,0.0251,0.0,0.0864,0.963,152507,171.0, Spain
173.05333,10,-6.167,1,129.063,0.03,0.21737,169.15157,0.612,0.812,4,0.485,2011,6,0.793,0.83,0.0769,0.0725,0.0,0.0908,0.745,173053,67.0, Lithuania
166.25333,11,-4.002,0,136.089,0.15,0.24404,159.81134,0.52,0.441,4,0.404,2015,21,0.689,0.768,0.0338,0.0314,1.22e-05,0.308,0.616,166253,52.0, Netherlands
165.18008,9,-6.57,0,118.035,0.06,0.14512,161.78503,0.383,0.272,4,1.0,2010,13,0.675,0.817,0.0987,0.309,0.0,0.261,0.5,165180,120.0, Armenia
168.04,2,-6.348,0,134.025,0.33,0.36594,163.22467,0.427,0.266,4,0.98,2015,20,0.775,0.683,0.048,0.0772,0.0,0.353,0.58,168040,103.0, Netherlands
320.3011,8,-3.767,1,130.034,0.33,0.0,316.44736,0.513,0.466,4,1.0,2011,3,0.655,0.989,0.0494,0.0372,0.018,0.593,0.761,320301,57.0, Sweden
214.0,4,-15.249,1,136.034,0.01,0.0,211.68472,0.387,0.501,4,1.0,2008,3,0.839,0.707,0.0666,0.00116,0.918,0.169,0.965,214000,108.0, Georgia
142.53333,8,-9.105,1,90.247,0.32,0.0,138.80309,0.602,0.578,4,1.0,1967,0,0.616,0.893,0.0812,0.0746,7.78e-05,0.0786,0.89,142533,121.0, Denmark
167.45332,6,-4.085,1,112.028,0.33,0.1073,163.57297,0.556,0.686,4,0.821,2008,43,0.688,0.688,0.0268,0.445,0.0,0.306,0.687,167453,82.0, Netherlands
